test kernel_fbt kernel_fbt_eawc kernel_fbt_eawc_cls kernel_fbt_eawc_cls_ts
uibench_InvalidateActivity 6360.16133333 6398.662 6567.78033333 6590.18833333
galleryfling 5909.63 5940.991 5913.56866667 5928.02333333
recentfling 7403.37533333 7305.319 7271.819 7262.166
emailfling 5643.58066667 5566.93833333 5631.054 5599.25
uibench_ActivityTransitionDetails 6195.17933333 6066.359 6013.57733333 5760.39833333
uibench_TrivialAnimationActivity 6094.12633333 6075.25033333 5864.01766667 6106.22033333
uibench_ActivityTransition 6195.17933333 6066.359 6013.57733333 5760.39833333
uibench_InflatingListActivity 6623.06933333 6540.514 6566.30633333 6514.99133333
