test kernel_fbt kernel_fbt_eawc kernel_fbt_eawc_cls kernel_fbt_eawc_cls_ts kernel_fbt_eawc_cls_ts_opp
uibench_InvalidateActivity_janks% 0.0 13.2248326828 -7.25531289267 -49.6427149411 4.66730904803
galleryfling_Average_Jank% 0.0 -4.66666666667 9.0 12.6666666667 23.0
recentfling_Average_Jank% 0.0 4.0 -9.66666666667 -17.6666666667 -6.0
emailfling_Average_Jank% 0.0 -2.33333333333 16.3333333333 19.6666666667 31.6666666667
uibench_ActivityTransitionDetails_janks% 0.0 5.97315643187 9.07752618624 7.14779444074 10.5844791731
uibench_TrivialAnimationActivity_janks% 0.0 -34.1262237389 -41.6760710757 -21.5297959441 -35.4625516371
uibench_ActivityTransition_janks% 0.0 5.97315643187 9.07752618624 7.14779444074 10.5844791731
uibench_InflatingListActivity_janks% 0.0 28.7344602834 4.93206172294 7.73533722949 19.708891158
